"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",6,"Cookies;Pie (any);Pie (apple);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes;Prime Rib","Birth of Jesus","","",NA,"","Female","45-54","Christianity, other","3+ times a month","Other","Rarely","West"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, but they didn't say they were from Santa",9,"Cookies;Pie (pecan)","","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Joy Family Love","","",NA,"","Female","55+","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Southeast"
"No","","","","",NA,"","","","","Spend time with family;Exchange gifts with family and/or friends;Wear an ugly sweater","Yes, but they didn't say they were from Santa",NA,"Overhyped commercialised bullshit","Other","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"No","","","","",NA,"","","","","Spend time with family;See a movie in a theater;Order food from a restaurant","No",NA,"For the gentiles","Male","25-34","Judaism","Rarely","Judaism","1-2 times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Gingerbread","","Bread rolls;Chicken;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Do Ireally Haveto","","",NA,"","Male","Under 18","Atheist/agnostic","Never","I am still under 18","Rarely","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (apple)","Apple cider","Bread rolls;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Very merry celebration","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Spend time with family;Exchange gifts with family and/or friends","24th","Not anymore","Yes, and they claimed they were from Santa",64,"Cookies","Champagne;Eggnog;Wine","Ham;Mashed potatoes;Stuffing/Dressing","Love Happyness God","","",NA,"","Female","55+","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family","Both are about the same","Never","Yes, and they claimed they were from Santa",8,"Cookies","Apple cider","Ham","Loving Fun Joyful","","",NA,"","Male","Under 18","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Eat a large meal prepared by family or friends","No",4,"Over Commercialized Break","Male","18-24","Other","Never","Other","Never","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",26,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (apple);Pie (pecan)","Apple cider;Champagne;Wine","Bread rolls;Chicken;Fish;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing","Addicted to retail","","",NA,"","Female","18-24","Christianity, other","1-2 times a month","Christianity, other","1-2 times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",12,"Cookies;Gingerbread","Wine","Bread rolls;Ham;Mashed potatoes","warm love lights","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, other","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",10,"Cookies","Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Advent joy peace","","",NA,"","Female","55+","Christianity, Catholic","1-2 times a month","Christianity, Catholic","3+ times a month","Northeast"
"No","","","","",NA,"","","","","Spend time with family;Spend time with friends","No",NA,"Christian commercialized festive","Female","18-24","Atheist/agnostic","Never","Judaism","Rarely","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",57,"Cookies","Champagne;Wine","Chicken;Fish;Ham","Magical family time","","",NA,"","Female","55+","Christianity, Catholic","1-2 times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (any);Pie (apple);Pie (pumpkin)","Apple cider;Eggnog;Wine","Bread rolls;Ham;Mashed potatoes","snow noel family","","",NA,"","Male","18-24","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",11,"Christmas cake/fruit cake;Cookies;Pie (pecan)","Champagne;Wine","Bread rolls;Ham;Mashed potatoes;Prime Rib;Stuffing/Dressing","Jolly loving blissful","","",NA,"","Female","18-24","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",8,"Cookies;Pie (any)","Apple cider;Champagne;Wine","Bread rolls;Mashed potatoes;Prime Rib","festive busy warm","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","1-2 times a month","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (apple)","Champagne;Wine","Bread rolls;Ham;Mashed potatoes;Prime Rib;Turkey","Family holiday time","","",NA,"","Male","25-34","Atheist/agnostic","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, and they claimed they were from Santa",10,"Cookies;Pie (any)","","Mashed potatoes;Stuffing/Dressing;Turkey","Presents family food","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread","Champagne;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","tree love family","","",NA,"","Female","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",13,"Candy Canes;Cookies;Gingerbread;Pie (any)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Mashed potatoes","Snow or die","","",NA,"","Male","25-34","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",7,"Cookies;Pie (any)","","Bread rolls;Ham","Red family winter","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",0,"Candy Canes;Cookies;Gingerbread;Pie (pumpkin);Pie (sweet potato)","Eggnog","Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","jesus is reason","","",NA,"","Male","35-44","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",15,"Candy Canes;Cookies;Gingerbread","Apple cider","Bread rolls;Chicken","Fun Family Time","","",NA,"","Male","Under 18","Christianity, Catholic","Rarely","I am still under 18","I am still under 18","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple)","Apple cider","Chicken;Turkey","awesome depressing loving","","",NA,"","Other","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","I do not live in the United States"
"No","","","","",NA,"","","","","","Yes, but they didn't say they were from Santa",NA,"Greedy lonely stressful","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"","","","a b c","","",NA,"","Male","25-34","Atheist/agnostic","Rarely","Christianity, other","3+ times a month","I do not live in the United States"
"No","","","","",NA,"","","","","Order food from a restaurant","Yes, and they claimed they were from Santa",13,"Boring waste stupid","Male","35-44","Atheist/agnostic","Never","Atheist/agnostic","Never","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Pie (apple)","Apple cider","Bread rolls;Mashed potatoes;Stuffing/Dressing","Fun Family Jesus","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider;Champagne;Eggnog;Wine","Bread rolls;Chicken;Ham;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Fun family love","","",NA,"","Female","35-44","Atheist/agnostic","Never","Christianity, other","3+ times a month","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Gingerbread","Apple cider","Bread rolls;Chicken;Ham;Mashed potatoes","presents winter food","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Gingerbread;Pie (apple);Pie (pumpkin);Pie (sweet potato)","","Ham;Prime Rib","snow presents family","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Pie (any)","Apple cider","Ham","Birth of Jesus","","",NA,"","Female","45-54","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Gingerbread","Eggnog","Chicken;Ham;Macaroni and cheese","Family Jesus Giving","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any)","Wine","Chicken;Ham;Mashed potatoes","Meaningful family giving","","",NA,"","Female","55+","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing","birthday of Christ","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends","24th","Never","Yes, but they didn't say they were from Santa",NA,"Pie (sweet potato)","Wine","Mashed potatoes;Turkey","Family Food Western","","",NA,"","Male","35-44","Judaism","1-2 times a month","Atheist/agnostic","1-2 times a month","West"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Pie (any);Pie (apple);Pie (pumpkin)","Wine","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Joy family cheer","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","3+ times a month","West"
"Yes","Attend religious service;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","","Always/almost always","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Gingerbread;Pie (any)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Celebrate Jesus Birthday","","",NA,"","Male","45-54","Christianity, Evangelical","3+ times a month","Christianity, other","Rarely","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any)","Champagne;Wine","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib","Grateful Fun Stressful","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","1-2 times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",11,"Cookies;Pie (any)","Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Christ childs birthday","","",NA,"","Female","45-54","Christianity, Catholic","Rarely","Christianity, other","3+ times a month","Southwest"
"Yes","Spend time with family;Spend time with friends;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",6,"Pie (any)","Eggnog;Wine","","Family Food Relaxation","","",NA,"","Male","35-44","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing","Good times man","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, and they claimed they were from Santa",5,"Cookies","Eggnog","Bread rolls;Ham;Mashed potatoes","Full of joy","","",NA,"","Female","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",11,"Cookies;Pie (any)","","Fish;Turkey","tradition family food","","",NA,"","Female","18-24","Atheist/agnostic","Never","Christianity, Catholic","1-2 times a month","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Christmas cake/fruit cake;Cookies;Pie (any)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Magical peaceful excitement","","",NA,"","Female","18-24","Christianity, non-Evangelical Protestant","1-2 times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (any);Pie (pecan)","Eggnog","Bread rolls","Family and gifts","","",NA,"","Female","45-54","Christianity, other","Rarely","Christianity, Evangelical","3+ times a month","Southwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","No",NA,"Candy Canes;Cookies;Pie (pumpkin);Pie (pecan)","Eggnog;Wine","","Family friends booze","","",NA,"","Female","25-34","Christianity, Catholic","1-2 times a month","Christianity, Catholic","3+ times a month","Southwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies","Apple cider;Eggnog","Turkey","Family Cheerfulness Cozy","","",NA,"","Female","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","West"
"Yes","Eat a large meal prepared by family or friends","","Never","Yes, but they didn't say they were from Santa",0,"","","","queens speech crackers","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","See a movie in a theater","24th","Never","Yes, and they claimed they were from Santa",6,"Cookies;Pie (any)","Champagne","Fish;Macaroni and cheese","Beautiful good lonely","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Apple cider","Ham;Macaroni and cheese;Mashed potatoes","Christ generosity carols","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies","","Chicken","joyful love family","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan);Pie (sweet potato)","Apple cider;Buttered rum;Eggnog;Wine","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Friends family gifts","","",NA,"","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, but they didn't say they were from Santa",12,"Cookies;Pie (any)","Apple cider","Bread rolls;Chicken;Mashed potatoes","snow christmastree family","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Spend time with family;See a movie in a theater;Order food from a restaurant;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies","","","no-school relaxing festive","","",NA,"","Female","Under 18","Atheist/agnostic","Rarely","I am still under 18","I am still under 18","Northeast"
"Yes","See a movie in a theater","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Cookies","Apple cider;Eggnog;Wine","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib;Stuffing/Dressing;Turkey","Day to forget","","",NA,"","Female","45-54","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Prime Rib","Smiles Family Giving","","",NA,"","Female","Under 18","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Pie (any)","Apple cider;Buttered rum;Champagne;Wine","Bread rolls;Chicken;Mashed potatoes","Fun family love","","",NA,"","Male","18-24","Atheist/agnostic","Rarely","Christianity, Catholic","Rarely","West"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Sometimes","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (any)","Apple cider","Bread rolls;Ham;Mashed potatoes","Jesus Family Generosity","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies","Apple cider","Bread rolls;Mashed potatoes;Prime Rib","Laughter family fun","","",NA,"","Female","18-24","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","He has come","","",NA,"","Male","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (pecan)","Apple cider;Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Family Joy Sharing","","",NA,"","Female","18-24","Christianity, other","Rarely","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple)","Apple cider","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Celebration of Christ","","",NA,"","Female","45-54","Other","1-2 times a month","Christianity, non-Evangelical Protestant","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Never","Yes, and they claimed they were from Santa",24,"Candy Canes;Cookies;Gingerbread;Pie (any);Pie (apple);Pie (pumpkin)","Apple cider;Wine","Bread rolls;Chicken;Ham;Mashed potatoes;Prime Rib;Stuffing/Dressing","Family Love togethernesd","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family","Yes, and they claimed they were from Santa",7,"It was awful","Male","35-44","Atheist/agnostic","Never","Christianity, Catholic","Rarely","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Family gifts food","","",NA,"","Male","45-54","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (pumpkin);Pie (pecan)","Apple cider","Bread rolls;Fish;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Warm loving happy","","",NA,"","Male","25-34","Christianity, other","Never","Atheist/agnostic","Rarely","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Candy Canes;Cookies;Gingerbread","","Bread rolls;Ham;Mashed potatoes","presents winter presents","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",59,"Pie (apple);Pie (pumpkin)","Eggnog","Bread rolls;Ham;Mashed potatoes","Stressful commercialised exhausting","","",NA,"","Female","55+","Christianity, other","Rarely","Christianity, Catholic","1-2 times a month","Midwest"
